egid,gkat,gklas,status,street,zip,city,description,building_type,coordinate_lat,coordinate_lon,area,volume,url
3082707,1020,1110,Existing,Huobenfangstrasse 18b,6023,Rothenburg,,RESIDENTIAL,2662754.741,1216279.056,77,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=3082707_0&time=None&lang=de&topic=ech
195167,1020,1122,Existing,Adligenstrasse 5,6020,Emmen,,RESIDENTIAL,2663618.103,1216095.359,309,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=195167_0&time=None&lang=de&topic=ech
502292747,1060,1274,Existing,Sonneland 7.1,6206,Neuenkirch,Unterstand,NON_RESIDENTIAL,2657567.828,1216896.323,19,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=502292747_0&time=None&lang=de&topic=ech
2067450,1020,1110,Existing,Stägmättli 6,6206,Neuenkirch,,RESIDENTIAL,2658176.605,1216586.926,74,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=2067450_0&time=None&lang=de&topic=ech
191905387,1020,1121,Existing,Gimmermee 6d,6023,Rothenburg,Wohnhaus,RESIDENTIAL,2662383.69,1216613.219,133,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191905387_0&time=None&lang=de&topic=ech
195233,1020,1110,Existing,Schürstrasse 20,6020,Emmen,,RESIDENTIAL,2663220.191,1215512.826,56,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=195233_0&time=None&lang=de&topic=ech
191905387,1020,1121,Existing,Gimmermee 6d,6023,Rothenburg,Wohnhaus,RESIDENTIAL,2662383.69,1216613.219,133,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191905387_0&time=None&lang=de&topic=ech
199803,1020,1110,Existing,Mauritiusring 13,6023,Rothenburg,,RESIDENTIAL,2662345.544,1216761.023,108,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=199803_0&time=None&lang=de&topic=ech
502292673,1060,1276,Existing,Surseestrasse 42.2,6206,Neuenkirch,Schweinescheune,AGRICULTURAL,2657787.165,1217462.801,125,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=502292673_0&time=None&lang=de&topic=ech
223611,1030,1121,Existing,Lippenrüti 4,6206,Neuenkirch,,RESIDENTIAL,2657434.854,1217638.638,190,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=223611_0&time=None&lang=de&topic=ech
